id_produit,sku,nom_produit,unite_mesure,categorie,actif,collisage_fardeau,collisage_palette,poids
31334,f2ee815bef75b7fecadf,14c03f68f1b77ab81c155e147dc6309129a85c9564d2b35d73103d11c26ec301,Unité(s),MOULURE,True,32,1600,0
31335,fd874c7598d3465d97b4,afa26d113685cc9928ba6f6e5c2b44d8ebbf53226accb8c4a460feb2692b02e4,Unité(s),MOULURE,True,32,2100,0
31336,a2dc16d4ff33ef593b3f,291e260b8fbb3204acba996d71e7e29afb54bb2a4dfdb17e94be82faf6fb580f,Unité(s),MOULURE,True,32,2300,0
31337,524cab6bfc1f966aeb3e,1926ae55c99ec2c2cc3fb751b48517aae8d5de22e51887b75650d375d9fc4d0c,Unité(s),MOULURE,True,20,1000,0
31338,d33bc218f63cf9c37d19,cd63aede5a3725c7ac7511226962b0b9278c0c5373422f77b92b653c3fd6c95c,Unité(s),MOULURE,True,60,1300,0
31339,fb4905b05461b9035937,30b55243d1fac46593689dba90b78e3089181c8ec8a11efcb796d61c0027632e,Unité(s),MOULURE,True,22,2500,0
31340,228ab5bc78ceb2d1edbe,5233bfffa7f02db2e67d3f7b2f64ddee39af7fa31bdc73d8af529302b2ef585b,Unité(s),MOULURE,True,1,1000,0
31341,675f51e7e0697591e82d,4b31eab1644ce62fbce0d6183c4cb8ab767c238d97b3639376ecbc1b213c9984,Unité(s),MOULURE,True,12,1500,0
31342,edb99ea11d85442f02b7,84999f82ca1f0b1e50557fb0928e6aee336896af831eb9b1b168fb725d2dc09f,Unité(s),MOULURE,True,32,1900,0
31343,a63c2eb107946b434381,64ddd4ba1ce31cc364345640a16b5645e241a8f51d747730eb454bb8a44849be,Unité(s),MOULURE,True,24,1400,0
31344,123950eed243f31c9835,96a55827f8b025d555c0018bfc7dec4a274cb55567780988950606b504f24ddf,Unité(s),MOULURE,True,96,3000,0
31347,962b9a9a1afd153faeb7,105bf8be77fbe324568d13c848d59a2d1c0435bfdf7d98f2fbd0c91ce23f8d1e,Unité(s),MOULURE,True,100,1500,0
31348,79bff1e0f63a791b8fec,b9d66b88d527f841fef1ebdf6b2c38d6ff380ba4d260bda1320519f217280a9b,Unité(s),MOULURE,True,100,1700,0
31349,dfb63a0401dd9cf6adae,3dad4b3e9d8307044a32485785914fcf9004c79304d6f7ca4892fd0464152a5f,Unité(s),MOULURE,True,200,2800,0
31350,901980be15f40227ecba,b7e465638ba229db8bbd00f74a570b3880a18e2048793af413e4638a8a9c8b83,Unité(s),MOULURE,True,200,2400,0
31351,c39476b154d503f5468d,7c3c5a10183291e3bd214f7b0de272a10186aa0a3e0dd046ae392f03b67028c3,Unité(s),MOULURE,True,100,2700,0
